Image,Dice,IoU,Sensitivity,Specificity,Precision,F1_Score,TP,TN,FP,FN
TCGA_DU_5855_19951217_12.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_5855_19951217_15.tif,0.9405,0.8877,0.9355,0.9967,0.9455,0.9405,885,15387,51,61
TCGA_DU_5872_19950223_23.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_5872_19950223_26.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_5872_19950223_34.tif,0.8727,0.7742,0.9677,0.9922,0.7947,0.8727,480,15764,124,16
TCGA_DU_5872_19950223_27.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_5872_19950223_24.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_5872_19950223_2.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_5872_19950223_8.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_5874_19950510_10.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_5872_19950223_5.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_6399_19830416_10.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_6399_19830416_36.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_6399_19830416_38.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_6399_19830416_18.tif,0.9223,0.8558,0.9674,0.997,0.8812,0.9223,356,15968,48,12
TCGA_DU_6399_19830416_51.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_6399_19830416_3.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_6399_19830416_30.tif,0.8465,0.7339,0.7521,0.9998,0.9681,0.8465,91,16260,3,30
TCGA_DU_6400_19830518_51.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_6400_19830518_17.tif,0.0532,0.0273,0.0273,1.0,1.0,0.0532,8,16091,0,285
TCGA_DU_6400_19830518_9.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_6400_19830518_6.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_6400_19830518_5.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_6400_19830518_53.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_6401_19831001_19.tif,0.0,0.0,0.0,1.0,1.0,0.0,0,16369,0,15
TCGA_DU_6404_19850629_31.tif,0.9396,0.8861,0.9804,0.9976,0.9021,0.9396,350,15989,38,7
TCGA_DU_6404_19850629_2.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_6401_19831001_7.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_6401_19831001_42.tif,0.892,0.8051,0.8636,0.999,0.9223,0.892,190,16148,16,30
TCGA_DU_6404_19850629_20.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_6405_19851005_10.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_6404_19850629_45.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_6405_19851005_18.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_6405_19851005_11.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_6404_19850629_5.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_6405_19851005_3.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_6407_19860514_27.tif,0.9266,0.8632,0.8838,0.9988,0.9738,0.9266,707,15565,19,93
TCGA_DU_6407_19860514_16.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_6405_19851005_45.tif,0.7166,0.5584,0.8596,0.9941,0.6145,0.7166,153,16110,96,25
TCGA_DU_6405_19851005_40.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_6407_19860514_11.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_6407_19860514_15.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_6407_19860514_20.tif,0.0,0.0,0.0,1.0,1.0,0.0,0,16232,0,152
TCGA_DU_6405_19851005_41.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_6407_19860514_28.tif,0.9375,0.8824,0.9065,0.9987,0.9708,0.9375,698,15593,21,72
TCGA_DU_6407_19860514_23.tif,0.9341,0.8763,0.9478,0.9968,0.9208,0.9341,581,15721,50,32
TCGA_DU_6407_19860514_42.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_6408_19860521_14.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_6407_19860514_49.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_6407_19860514_55.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_7008_19830723_38.tif,0.8252,0.7025,0.8095,0.999,0.8416,0.8252,85,16263,16,20
TCGA_DU_6408_19860521_9.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_6408_19860521_48.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_7008_19830723_15.tif,0.7484,0.5979,0.6203,0.9991,0.9431,0.7484,232,15996,14,142
TCGA_DU_7008_19830723_33.tif,0.8792,0.7844,0.9278,0.9924,0.8354,0.8792,604,15614,119,47
TCGA_DU_7010_19860307_21.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_7010_19860307_5.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_7010_19860307_54.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_7008_19830723_51.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_7010_19860307_49.tif,0.2542,0.1456,0.1456,1.0,1.0,0.2542,53,16020,0,311
TCGA_DU_7010_19860307_40.tif,0.8646,0.7616,0.8345,0.9945,0.8971,0.8646,741,15411,85,147
TCGA_DU_7010_19860307_37.tif,0.7751,0.6327,0.7208,0.9914,0.8382,0.7751,684,15303,132,265
TCGA_DU_7010_19860307_2.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_7010_19860307_10.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_7013_19860523_2.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_7013_19860523_12.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_7013_19860523_27.tif,0.7895,0.6522,0.6522,1.0,1.0,0.7895,90,16246,0,48
TCGA_DU_7013_19860523_24.tif,0.8548,0.7465,0.7794,0.9994,0.9464,0.8548,159,16171,9,45
TCGA_DU_7014_19860618_16.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_7014_19860618_31.tif,0.8009,0.6679,0.8078,0.9914,0.7942,0.8009,521,15604,135,124
TCGA_DU_7014_19860618_3.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_7013_19860523_8.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_7014_19860618_22.tif,0.05,0.0256,0.0256,1.0,1.0,0.05,2,16306,0,76
